block,trial,n_objects_actual,n_objects_guessed,correct,rt
1,0,2,2,True,0.058982625138014555
1,1,10,9,False,0.9050923748873174
1,2,4,4,True,0.3093504160642624
1,3,6,6,True,0.7869967920705676
1,4,7,7,True,0.9277752079069614
1,5,9,8,False,0.2210308751091361
1,6,1,1,True,0.04065745882689953
1,7,8,5,False,0.8306835419498384
1,8,3,3,True,0.3075682078488171
1,9,5,6,False,0.6199897923506796
2,0,1,1,True,0.05863454099744558
2,1,7,6,False,0.7997377081774175
2,2,5,5,True,0.5187716251239181
2,3,9,7,False,0.8147736671380699
2,4,2,2,True,0.23499225033447146
2,5,8,8,True,0.3945833337493241
2,6,4,4,True,0.31635983381420374
2,7,6,5,False,0.49143837485462427
2,8,10,8,False,0.371756040956825
2,9,3,3,True,0.2932899999432266
3,0,9,8,False,0.22521062521263957
3,1,10,9,False,0.4915319583378732
3,2,1,1,True,0.30266249971464276
3,3,2,2,True,0.08330545807257295
3,4,3,3,True,0.2538764588534832
3,5,6,5,False,0.5539253749884665
3,6,5,6,False,0.5575023340061307
3,7,8,7,False,0.6955188331194222
3,8,7,8,False,0.35351429088041186
3,9,4,4,True,0.46812620805576444
